Title|Post date|Path|Date|Meeting Year|Presentation Title|Presenter Name|Summary
:::A 2-Part Workshop on Critical Thinking and Reflective Practices|09/01/2022 11:52:26|/chapters/kq/schedule/2022/october/15|10/15/2022 - 17:30 to 20:00|2022||Andrew Boon|********For our October meeting, Andrew Boon will be covering two separate topics. We hope you can join us for one or both.********Designing critical thinking activities for the classroom********In the first presentation, I will  outline Hadley & Boon's (2023) cyclical process to introduce critical thinking  into the language classroom. This involves the learners becoming better critical thinkers via raising awareness of their individual beliefs and biases, listening to or reading carefully the information they receive, and considering potential weaknesses within the arguments. It also explains how I designed a series of activities to orient learners to the critical thinking process and to introduce them to various logical fallacies that may be used to mislead listeners or readers. Participants will be introduced to several of these critical thinking activities. They will be encouraged to adapt them or design original activities for their own particular teaching context.********Facilitating reflective practice online********In the second presentation, I will describe how teachers may make use of the Cooperative Development (CD) (Edge, 2002) or Instant Messenger Cooperative Development (IMCD) (Boon 2005, 2007, 2015, 2019) framework to interact together within a virtual non-judgmental environment to reflect on and investigate pedagogic puzzles, to make discoveries about our teaching, and to determine plans of action of how best to proceed in our classes. Participants will also be encouraged to undertake their own short CD/IMCD sessions regarding their teaching and to reflect on their experiences of using the framework.************Andrew Boon is a Professor in the faculty of Global Communications at Toyo Gakuen University, Tokyo, Japan. He has been teaching in Japan for over 25 years and holds a PhD from Aston University. His research focuses on learner support and discovery in non-judgmental environments. He has presented at numerous conferences, written coursebooks and graded readers, and has published articles on teacher development, motivation, and methodology. His is also the co-author of  the forthcoming title, Critical Thinking ('Research and Resources in Language Teaching' series, Routledge).********Note********Each presentation will run for approximately 1 hour with a 30-minute break in between.****This session will be held online. The link to join via Zoom is below********Topic: Kitakyushu JALT October Meeting****Time: Oct 15, 2022 05:30 PM Osaka, Sapporo, Tokyo****Join Zoom Meeting****https://us02web.zoom.us/j/82057528875?pwd=SXdGZVl3MXYwQnhidDByR3pnaHZUdz09****Meeting ID: 820 5752 8875****Passcode: 794830****
:::Lesson Planning: The Key to Effective Teaching|08/23/2022 11:41:21|/chapters/kq/schedule/2022/september/10|09/10/2022 - 18:15 to 19:45|2022||Fiona Myers Kanemura|********A lesson plan is an essential instrument that serves as a guide, a resource, and a document that reflects the teaching philosophy and, most importantly, the learning objectives of a lesson. It reflects a teacher's beliefs, understanding of, and orientation towards the curriculum, subject, learners, and pedagogy. Hernandez (2007) opines that when English teachers plan their lessons, they also have to take into account several variables to make sure that their lessons are going to be effective. (p.1). These variables include the learner's background, interest, class size, and linguistic competence.************Effective teaching, good class management, and sustained educational advancement depend on fruitful lesson planning. In addition, lesson planning helps teachers with the smooth delivery of the content. At its heart, teaching involves being able to unpack something one knows well to make it accessible to and learnable by someone else, and this can only be done with effective lesson planning. This requires explicit knowledge and skill beyond simple expertise. Being accomplished in a specific domain does not automatically include the capacity to break knowledge of the domain into its core components and transmit this to someone who lacks skill or understanding in said domain. Therefore, EFL instructors must effectively use the time to prepare for the learners, ultimately providing rewarding learning experiences in each lesson.************This presentation is centered around discussing the effectiveness of lesson planning. Areas to be covered include:********Planning engaging lessons to facilitate learning and implement appropriate teaching strategies and resources,****organization and time management,****assessment techniques that can be used to evaluate the learners before and during the lesson.************During this professional learning session, participants will have an opportunity to collaborate——an essential aspect of teaching, learn new teaching strategies, discuss, share their best practices and ask questions.************Fiona Kanemura has been teaching in a variety of contexts for the past 17 years. Before teaching in Japan, she was a high school literacy specialist and social studies teacher.  She currently teaches English at Kyushu International University and Shimonoseki City University, and is a doctoral student at Concordia University Chicago. She has a teaching diploma, BED, and an MA. Her areas of interest are curriculum design, teaching methodologies, and motivation.********Reference********Hernández, M.S. (2007).  Reliable and Practical Guidelines for Planning an Effective English Lesson. Revista de Fillologia y Linguistica de la Universidad de Costa Rica.********For this presentation, we'll be in our regular venue. In keeping with our chapter policy, all attendees are required to wear a mask whilst at the presentation.****Doors open at 6 pm, the presentation will start around 6:15pm.****Attendance is free for JALT members, 1,000 yen at the door for nonmembers.****
:::An online application for advancing quantitative data analysis|06/11/2022 18:58:32|/chapters/kq/schedule/2022/july/16|07/16/2022 - 18:00 to 19:30|2022||Paul Collett|****For quantitative research into foreign language learning or teaching, the dominant approach is arguably inferential statistics for statistical significance testing. Here, a test statistic (p-value) is calculated from sampled data, and decisions on the variables being tested-whether to accept or reject them as in some way contributing to the processes under study-are made based on the calculated p-value. However, this approach has long been recognised by numerous methodologists and theorists as potentially flawed, possibly holding back much research from contributing to substantive theory creation. Alternative measures are recommended; if not rejecting the approach outright, it is suggested that the results of statistical significance tests are augmented with measures of effect size, confidence intervals, robust variations of inferential statistics, and data-rich graphical plots. This presentation introduces an online application designed to help researchers carry out quantitative analysis focused on these alternatives to significance testing. Aimed particularly at less-experienced researchers, it requires little more than the input of data for the output of a range of useful statistics and plots. The rationale behind and usage of the application will be covered.****Paul Collett works at Shimonoseki City University. His interests include research methodology and epistemology, and working towards better practices in these areas. ****For this presentation, we'll be back to face-to-face meetings. We'll be in our regular venue. In keeping with our chapter policy, all attendees are required to wear a mask whilst at the presentation.****Doors open at 6 pm, the presentation will start around 6:15pm.****Attendance is free for JALT members, 1,000 yen at the door for nonmembers.****
:::Shifting from ALT or eikaiwa jobs to university teaching|03/22/2022 14:40:02|/chapters/kq/schedule/2022/june/12|06/12/2022 - 17:00 to 18:30|2022||Jackson Koon Yat Lee|****Some ALTs and eikaiwa teachers in Japan often find themselves limited in career choices within their teaching environments, while the option to shift to university teaching seems to have an intimidatingly high barrier to entry. The purpose of this presentation is to introduce this career path and make it more transparent for passionate educators who are interested in teaching at the university level. This informative session will provide concrete suggestions on the preparations and procedures applicants should consider taking to help with their chances. Realistic expectations about the logistics and the nature of the job will also be set as the presenter provides examples of responsibilities at such positions. Different levels of positions and potential career paths at university teaching will also be explored. A short Q&A with the attendees is planned at the end of the session. ****Jackson Lee is a Specially-Appointed Lecturer at Toyo University in Tokyo. He began his teaching career in Japan as an ALT in 2012. He was the former Chair of the Diversity, Equity and Inclusion Committee of JALT as well as the former JALT Gifu Chapter President. His research interests include intercultural communication, diversity in ELT, teacher education and the Japanese English education system.****This meeting will be held online. The link to attend the presentation is****https://us02web.zoom.us/j/86753566633?pwd=cGlKbnhhelZHUDFzVS81VjJQMll0dz09****Meeting ID: 867 5356 6633****Passcode: 825514****Contact us if you have any problems accessing the online session.****
:::Online learning from a student’s perspective|03/01/2022 13:21:45|/chapters/kq/schedule/2022/may/14|05/14/2022 - 17:30 to 19:00|2022||Miguel Mision|****After two years of the pandemic, it is still difficult to say what a ‘normal’ classroom will be like anymore. What important lessons were learnt in these past two years, and are there benefits to online learning beyond virus prevention? The author examined perspectives and experiences on what it was like learning remotely as a university student over the course of two years. Surveys and one on one interviews were conducted on a target demographic of students. The research had surprisingly mixed results both positive and negative. Students were asked which style of learning they preferred – online, face-to-face or a blend of both. Curiously, there was a three-way split between all options in the first year. In the second year, a majority favored online or blended learning. Although many students and teachers are quick to assume that face-to-face learning allows young people to enjoy a more “normal” university life – the results indicate that there are cases where the merits of online learning exceed those of face-to-face classes. ****Miguel Mision did his undergraduate in engineering and international studies with a major in Japanese at the University of Technology, Sydney. Once upon a time he was an engineer and worked for Toshiba Corp in Australia. He came to Japan in 2009 and worked as an ALT teaching all levels from kindergarten to highschool to corporate. Miguel has an MA in Education majoring in TESOL with the University of Wollongong. His research interests include both Computer and Mobile Assisted Language Learning and Student Well-Being.****This event will be held online.  Joining details will be sent out to members via our mailing list / publicity group prior to the meeting. You can also contact us if you would like to attend the meeting.****This event is cosponsored by the Hiroshima JALT chapter****
:::Promoting Sustainable Education: A Cross-Cultural Hybrid Framework for Japanese and Nepalese Younger Learners|05/21/2021 21:29:38|/chapters/kq/schedule/2021/september/11|09/11/2021 - 17:30 to 19:00|2021||Namiko Tsuruta|****There is a strong disconnect between how English is still taught in schools, and its prevalence as an international language in our interconnected digital world. Moreover, many young adults lack confidence and a voice, often detached from issues in Japanese society. Are our traditional approaches to English language instruction preparing our learners to become active and global participants of the “Experience Age”?****The presenter hopes to inspire foreign language teachers through a one-year, hybrid, cross-cultural (Nepal-Japan) SDG program. The framework can be implemented in any secondary school to involve our learners to become autonomous thinkers in an ever-evolving, multilingual world.****Namiko Tsuruta has taught for 23 years in Kanto and trained Japanese teachers and ALTs in schools for many years. She is a graduate of Choate Rosemary Hall and the University of Michigan. She is currently Program Director of Global Language Institute and Creative Director of The Tokyo Life.****This meeting will br taking place over Zoom. Please contact us if you would like the link.****
:::Projects for Teaching Critical Thinking Skills|04/24/2021 18:55:44|/chapters/kq/schedule/2021/may/08|05/08/2021 - 10:00 to 11:30|2021||Whitney Tudor Sarver, Tracy Koslowski| ****This presentation includes a basic overview of what constitutes critical thinking, tips and resources for selecting projects for your course, and methods for implementing projects which encourage students to analyze, synthesize, and create while developing their understanding of language and culture. The presenters will include examples of projects they have used in their courses. These projects have been implemented in a university-level Intensive English Program, but the ideas are adaptable for students at other levels.************Tracy Koslowski is the associate director, and Whitney Sarver is the senior director, of the Intensive English Program at the University of Mississippi (UM), located in Oxford, MS, USA. Tracy holds two master's degrees (German and TESL) and is currently a doctoral candidate in Higher Education at UM. She has recently been selected by the US State Department for a prestigious English Language Specialist Project, and she will be focusing on integrating critical thinking into the English as a foreign language classroom. Whitney holds a master's degree in TESOL and a PhD in Composition & TESOL, and her research interests center on the teaching of writing, teacher training, and program administration. Both Tracy and Whitney have presented extensively at local, regional, national, and international events, and they enjoy meeting fellow teachers from around the world.********This presentation will be held online via Zoom. Contact us for the Zoom link.********
:::Tips for Teaching Presentation Skills|02/22/2021 12:36:50|/chapters/kq/schedule/2021/april/10|04/10/2021 - 17:30 to 19:00|2021||Tim Thompson|********In this talk, the presenter will provide tips for training activities, syllabus design, common mistakes, and both teacher and peer feedback on students’ presentations. While the focus will be on how to teach a university presentation skills course, it should also be useful for teachers of any level who incorporate student presentations into their English classes.************Tim Thompson has been working in the ELT industry in Korea for over 20 years.  He was an English professor for 15 years before founding Archer Consulting in 2016. Tim has taught presentation skills at universities, private companies, and government organizations around the world.  His book on teaching presentation skills is available on amazon.com. You can also get more tips on his blog.********
:::Teaching Younger Learners: Ideas and Information|02/22/2021 02:24:24|/chapters/kq/schedule/2021/march/13|03/13/2021 - 17:30 to 19:30|2021||Chelanna White, Mark Fennelly|For our March meeting, we will have two sessions focussing on teaching younger learners. Our first session with Chelanna White will begin at 5:30 pm and run until 6:10 pm. After a short break, our second speaker Mark Fennelly will talk from 6:15 pm onwards.****Online: Zoom****https://us02web.zoom.us/j/84894142078?pwd=K2tLV2lFVW5CUjNPSDJSNVNUbGdydz09****Meeting ID: 848 9414 2078****Passcode: 198905********Chelanna White****Two Activities for High School Classes************Activity 1 - After attending a talk by Dr. Krashen and Dr. Mason hosted by Kobe JALT in 2019, I became interested in the Story Listening method for teaching and reinforcing vocabulary, and decided to try it out with the English club at two senior high schools in Kyoto. I have also used this method in full classes. I will introduce the Story Listening method and share my experiences in implementing it.************Activity 2 - I took the classic foreign language activity of using a simple map to show how to give directions, and gave it a Pokémon-themed spin. Using maps created for an unofficial role playing game based on the Pokémon franchise made the content more fun and relatable for the students (and me!). I share the resources I used to make the lesson, how I interpreted the map exercise, and a fun closing activity.************Chelanna White is a 4th-year ALT with the JET Programme and the Prefectural Advisor for Kyoto. She teaches primarily first year senior high school students. She is also the Co-Chair of Programming for the Kyoto JALT chapter.************Mark Fennelly****Understanding and Applying the New Course of Study at Elementary School************Since the early 1990s the government has been implementing English at the elementary school level. From 2020 the new course of study for elementary school was introduced with foreign language activities required at the third and fourth grade and English being taught as a subject in the fifth and sixth grades. This change will be followed by the introductions of the new course of study and subsequent textbooks at junior high in 2021 and senior high in 2022. This presentation will offer background into the implementation of the new Course of Study and its implications at the classroom level. As a member of the committee which produced the course of study, the committee which developed the materials based on the course of study, and textbook development, the speaker hopes to offer insight into d the main aspects if the New Course of Study and offer concrete ideas, based on classroom research at research and local schools and textbook research, to identify how school English classes need to change in the future to follow the government outlines. A large change in teaching style and evaluation is expected throughout the school system.************Mark Fennelly is a professor at Shikoku University. He has 30 years teaching experience in Japan, with 13 years in elementary and junior school, and 17 years involved in teacher development at the university level. He has been involved in the production of Ministry of Education policy materials and related teaching materials.********
:::Building an Effective, Free Language Lab|01/15/2021 15:24:57|/chapters/kq/schedule/2021/february/13|02/13/2021 - 17:00 to 18:30|2021||Erin Noxon|********Speaking practice, listening to different speakers, answering questions... All things you would love for your students to be able do in the language lab. But, do you have the time, the budget, and can you find the right software? What if you could do it all for free, with equipment that you already have lying around, and, after the initial set up time, the class took care of itself? Over the past years I've created my own curriculum out of spare parts, using G Suite tools for voice recognition, forms-based grading, Elllo.org, and more. I'll teach you how to do it and share all of my materials with you.************Dr. Erin Noxon is a Google Certified Innovator and teaches at Sagano High School in Kyoto, Japan. She has taught EFL English, science, and Tech and Media skills during her 18+ years of teaching in public schools in the US and Japan. She has managed EdTech professional development (PD) in both the US and Japan and currently researches EdTech PD, blended learning, and public school edtech environments.********The meeting will take place over Zoom. Contact us for the Zoom link.****
